,name,short_name,mnemnoic,category,sector,second_sector,org_id
133,carlyle group,carlyle group,,private equity,finance,,7TPREFVfi7uY
134,carnegie mellon,carnegie mellon,,university,education,,7pjn8A82qnFk
135,carney enterprises,carney enterprises,,commercial,,,eKzFBi44rGdG
136,carol mutter associates,carol mutter associates,,consulting,other,,3EkYbtj762xC
137,castle strategies,castle strategies,,consulting,other,,7seX2QPiudQg
138,cbs news,,,media,media,,58LYR3HFxZn8
139,center for application of design,center for application of design,,"ngo, state or local",other,,3FBmru72N7JY
140,center for arms control,center for arms control,,think tank,national security,,3Sg2R9wxR4Tw
141,center for climate and security,center for climate and security,,advocacy,defense,environment,5YAtdWT9Eo72
142,center for creative leadership,center for creative leadership,,"ngo, state or local",other,,3bi7ZBMHWqJj
143,center for disaster and humanitarian assistance medicine (cdham),center for disaster and humanitarian assistance medicine (cdham),,government,government,,66otPpdiC8UX
144,center for excellence in disaster management and humanitarian assistance,center for excellence in disaster management and humanitarian assistance,,government,government,,6j3h58ZNhLmE
145,center for immigration studies,center for immigration studies,,advocacy,other,,6YZNWLBaDdPu
146,center for international trade and security,center for international trade and security,,university,education,,6AjJjWDZmS54
147,center for naval analysis,center for naval analysis,,think tank-gov,national security,,3R99Uyz2SeWq
148,center for strategic decision research,center for strategic decision research,,think tank,national security,,6s6EginLZ4yy
149,center for strategic studies of america,center for strategic studies of america,,think tank,national security,,6L3wJee9w5dR
150,cgi federal,cgi federal,,contractor,defense,,n38puVzKttHQ
151,charles r heflebower,charles r heflebower,,consulting,other,,7nsqgVNVKNa9
152,chattahoochi technical college,chattahoochi technical college,,university,education,,5a6TBBYSHAwf
153,chertoff group,chertoff group,,investment company,defense,,5ZgAEUHJGUzU
154,chesapeake corp,chesapeake corp,,commercial,,,4aFvNbu56oLJ
155,chevron,chevron,,commercial,energy,,33A8gpUpsFNH
156,chiles,chiles,,commercial,,,574NkYZjfhT6
157,circadence,circadence,,commercial,telecommunication,,4GSEKpwNvfR9
158,cisco systems ,cisco systems ,,commercial,telecommunication,,4sLBNyp7oqP8
159,citadel,citadel,,university,education,,55Zjf8BBHT73
160,city of huntsville,city of huntsville,,government-local,government,,3xE9zGArqkZw
161,clark t robert,clark t robert,,consulting,other,,6n4dV7jeFMJF
162,clearcube,clearcube,,commercial,telecommunication,,3y832BavykoD
163,cm equity partners,cm equity partners,,private equity,government,,7R69y9VTa4Ww
164,cnf,cnf,,commercial,transportation,,7mDZxZ3g27gq
165,cno strategic studies group,cno strategic studies group,,think tank-gov,defense,,3wnGhLXneuJM
166,coast guard foundation,coast guard foundation,,"ngo, state or local",philanthropy,,7Vzhf4apuhfQ
167,cobro corporation,cobro corporation,,consulting,other,,5QaaHDSvmN8s
168,cohen group,cohen group,,consulting,other,,agjiobC5H8RN
169,colgen,colgen,,consulting,defense,,3aYf63mBmPZS
170,colina verde,colina verde,,consulting,other,,7oAPrCaxEFwg
171,colt firearms,colt firearms,,manufacturing,defense,,7kXdxanwcXkU
172,columbia research group,columbia research group,,commercial,healthcare,,4sxAGjzUtr5M
173,combatting terrorism center,combatting terrorism center,,think tank,national security,,66bX3dpndyis
174,commnexus,commnexus,,commercial,technology,,3AJwZWi5BFiJ
175,commodore applied tech,commodore applied tech,,commercial,other,,5jD9RDsr9SSC
176,community antidrug coalitions of america,community antidrug coalitions of america,,"ngo, state or local",other,,88eoRUaNASDZ
177,compaq,compaq,,commercial,technology,,5g9xyFKn49q3
178,computer sciences corp,computer sciences corp,,contractor,technology,,7ESchTd2GkAg
179,conaway group,conaway group,,consulting,defense,,8NENPrg3PgVJ
180,corbett tech,corbett tech,,commercial,,,3T6NDt6dRdyB
181,cordillera consulting group,cordillera consulting group,,consulting,other,,6GiBrY5iy588
182,corporation for promotion of rifle practice and firearm,corporation for promotion of rifle practice and firearm,,"ngo, state or local",other,,54sduG57spcV
183,council on foreign relations,council on foreign relations,,think tank,national security,,HDctaE4R5f6K
184,countertack (neuraliq government services),countertack (neuraliq government services),,contractor,technology,,4764ncChfbsn
185,covant,covant,,private equity,defense,,QFovFhV4Ky7n
186,crane corporation,crane corporation,,manufacturing,other,,39PCyGsYxDLV
187,crane materials international,crane materials international,,manufacturing,construction,,3ZSfDH4fiicq
188,croker b stephen,croker b stephen,,consulting,other,,4HXCyZYoUfr2
