,name,short_name,mnemnoic,category,sector,second_sector,org_id
735,united defense corporation,united defense corporation,,manufacturing,defense,,6GCaFVuxmqjM
736,united defense industries,united defense industries,,manufacturing,defense,,8Cfj3a2yJTMv
737,united technologies,,,manufacturing,aerospace,defense,7W8JMxT3DnDz
738,university of california ,university of california ,,university,education,,66tXVoWGLfTG
739,university of central florida,university of central florida,,university,education,,7GcZmUuyv5ji
740,university of texas,university of texas,,university,education,,3P8Rk58ncqyv
741,"university of texas, arlington",,,university,education,,8LJN37SDET3P
742,uqm technologies,uqm technologies,,manufacturing,transportation,,83J72FQdNoL8
743,us chamber of commerce,us chamber of commerce,,association,other,,7pDFCfThmsEA
744,us government,us government,,government,government,,npotn5K4R3VZ
745,us institute of peace,us institute of peace,,think tank-gov,national security,,3tyxxc2TYNTP
746,us naval academy,us naval academy,,university,education,,82aJYYEJukkh
747,usaa,usaa,,bank,finance,,f6Bh5omqk76t
748,us-algeria business council,us-algeria business council,,association,other,,yxeww8zNDhBB
749,usec,usec,,manufacturing,energy,,RbNKW99rB5eS
750,usfalcon,usfalcon,,contractor,defense,,57kfKy7Svkeh
751,usis,usis,,"ngo, state or local",other,,3p4t2Kft9UkR
752,uso,uso,,"ngo, state or local",other,,3LGSA5LwQaJq
753,validium technology,validium technology,,consulting,human resources,,5uUApywmmvvD
754,van fleet group,van fleet group,,consulting,human resources,,63swvi3JgYsJ
755,verint systems,verint systems,,commercial,,,6iyk8GanZ49L
756,vertex,vertex,,contractor,aerospace,,5fxqHqoJmtsa
757,veterans disability benefits commission,veterans disability benefits commission,,advisory board-gov,government,,6LQ4gbbWYRww
758,viaglobal,viaglobal,,consulting,education,,36vGtTcvAQYk
759,viaspace,viaspace,,other,energy,,hCcgQp5NwuwQ
760,virtual agility,virtual agility,,contractor,technology,,4QVzEwtphE6z
761,vmi,vmi,,university,education,,3ekgrT93CYXe
762,vought,vought,,commercial,,,8FovJFpmKvSX
763,vse corporation,vse corporation,,commercial,,,3Wu8MEPkeUif
764,vt systems,vt systems,,commercial,,,niMzJmbAaJEj
765,walden univeristy,walden univeristy,,university,education,,5tHxqPGwN4pB
766,wallace lighthouse consulting,wallace lighthouse consulting,,commercial,,,7BUcyUvfidd2
767,walters international,walters international,,commercial,,,6AKi8oEsM4fW
768,warrior information technology,warrior information technology,,commercial,,,4p792sEkGbYy
769,washington group international,washington group international,,construction,construction,,7njQTb6tbXtf
770,wbb consulting,wbb consulting,,commercial,,,5xYwBvKzmXqF
771,wcg and associates international,wcg and associates international,,consulting,other,,5E9gBKZeHpnt
772,wells fargo,wells fargo,,bank,finance,,3KabwyqPtUML
773,wesley k. clark and associates,wesley k. clark and associates,,consulting,other,,4Lby2eFoyAg9
774,west point society,west point society,,association,other,,7Bf4yUe5HAhG
775,westar aerospace and defense group,westar aerospace and defense group,,commercial,,,7Wg3qbE2gTdy
776,westinghouse government environmental services company,westinghouse government environmental services company,,commercial,,,38ma5JJPZwHU
777,westwind group,westwind group,,commercial,,,oA9WXpY9xZiP
778,wexford group,wexford group,,consulting,defense,,4U6j5CuhLfPT
779,wheat communications,wheat communications,,commercial,,,5RezxQqQTxJK
780,white oak group,white oak group,,private equity,finance,,8MCE5JgyNyoG
781,widepoint,widepoint,,commercial,,,3F7k5DWitnSA
782,william penn university,,,university,education,,7U3TwZiVKuLz
783,windmill international,windmill international,,commercial,,,5Nzm5s4wgz37
784,woodshole oceangraphic institute,woodshole oceangraphic institute,,university,education,,7vMkHrek4mAQ
785,world affairs council,world affairs council,,think tank,national security,,bzBesbkD37tV
786,wright flight,wright flight,,commercial,,,4aHGpCWQU7wY
787,wrl3 consulting,wrl3 consulting,,commercial,,,4fGWsvtd7pKs
788,wyle,wyle,,commercial,,,4Q9hjR4FyVVi
789,xcelaero,xcelaero,,commercial,,,4UHsFdBHY8Qr
790,ymca armed forces,ymca armed forces,,"ngo, state or local",other,,6jbfb9PZcpQn
791,zazi,zazi,,commercial,,,7ybVCR8Es8ay
792,zymex corp,zymex corp,,commercial,,,6GrRX9LBucEd
793,,fti llp,,consulting,communications,,7omgycLnfcwH
794,"fti consulting (sc), inc.",fti sc,,consulting,communications,,7ve5dryANvdP
795,fcb new york,fcb,,consulting,marketing,,3ZtYai8FsVmk
796,ethiopian people revolutionary party,ethiopian people revolutionary party,,political party,public affairs,,7AKLDDYyYJbb
797,debevoise & plimpton llp,debevoise & plimpton,,law firm,legal,,3y2UTPHLwqHx
798,definers corp,definers,,consulting,communications/public affairs,,67mTDjGYMR2R
799,"davis goldberg & galper, pllc",david goldberg & galper,,,,,77tAcckt8GHe
800,"lb international solutions, llc",lb international solutions,,consulting,,,6HgZjxXCgJMW
801,mcgregor group,mcgregor group,,consulting,,,5Es7kYuVdDNF
802," gephardt  group government affairs, llc",gephardt group,,lobbying,,,7XNjkmLPqNez
803,fleishman-hilliard governmental relations,fleishman-hilliard governmental relations,,consulting,communications,,6dpXsrhvSRPc
804,mercer & associates,mercer & associates,,consulting,finance,,4QAPHKX4fkiQ
805,dickstein shapiro,dickstein shapiro llp,,lobbying,,,4ELCgVVcnALD
806,caspian group,caspian group,,lobbying,,,3bdsCnAPzSy3
807,greenberg trauig,greenberg trauig llp,,law firm,legal,,6VE5Hjd3zNeJ
808,capitol counsel,capitol counsel llc,,lobbying,,,6iW6o3QK5x7r
809,belvedere strategies,belvedere strategies llc,,consulting,business,,52ZpJ78FeMXE
810,kurdistan regional government - liason office usa,kurdistan regional office - liason office usa,,lobbying,,,EEqbELGsbt8J
811,,,,,,,5E3QbJXebkMC
812,,,,,,,76Q9wptgcVGc
